AAPL
MSFT
NVDA
GOOGL
GOOG
AMZN
META
BRK.B
LLY
AVGO
TSLA
WMT
JPM
V
UNH
XOM
ORCL
MA
HD
PG
COST
JNJ
ABBV
KO
BAC
NFLX
MRK
CVX
CRM
AMD
TMUS
PEP
TMO
ACN
LIN
ADBE
MCD
CSCO
IBM
GE
ABT
DHR
AXP
CAT
VZ
WFC
QCOM
TXN
BX
PM
NOW
NEE
AMGN
ISRG
DIS
INTU
MS
AMAT
RTX
SPGI
PFE
T
CMCSA
LOW
GS
UBER
PGR
UNP
LMT
BLK
BKNG
SYK
HON
ETN
TJX
COP
NKE
BSX
ANET
VRTX
C
CB
ADP
SCHW
KKR
ELV
REGN
MDT
DE
MU
ADI
UPS
BMY
MMC
PANW
SBUX
LRCX
FI
GILD
KLAC
HCA
SO
MDLZ
INTC
CI
SHW
BA
ICE
SCCO
DUK
TT
ZTS
CEG
PLTR
MCO
MO
WM
DELL
GD
CTAS
CL
CME
PH
TDG
ABNB
CVS
NOC
PYPL
CMG
ITW
SNPS
AON
APH
MSI
APO
MMM
EOG
SPOT
CDNS
CARR
ECL
FCX
PNC
MAR
CRWD
GEV
BDX
TGT
USB
ORLY
CSX
FDX
WDAY
APD
AFL
MCK
RSG
SLB
MRVL
AJG
EMR
NU
DHI
IBKR
NEM
CRH
ROP
FTNT
DASH
WMB
ADSK
PSX
MET
MPC
HLT
TFC
COF
NSC
OKE
FANG
AEP
TTD
TRV
PCAR
AZO
SRE
URI
BK
CHTR
KMI
LEN
CPRT
JCI
PAYX
GM
GWW
KDP
ALL
MNST
OXY
D
ROST
KMB
FICO
AMP
LHX
AIG
MSCI
PEG
VST
STZ
FIS
VLO
APP
CMI
MPWR
RCL
PWR
COR
HES
KVUE
CPNG
ACGL
PRU
PCG
OTIS
LNG
IQV
NDAQ
A
TEAM
MCHP
F
KHC
HWM
GEHC
ODFL
EXC
COIN
FAST
CTVA
GIS
KR
SQ
IR
DDOG
IDXX
EW
VRT
IT
AME
YUM
FERG
HSY
VRSK
GLW
DOW
CTSH
LVS
SYY
CBRE
CNC
EA
BKR
SNOW
CVNA
EFX
RKT
DD
XEL
ED
NUE
RMD
ALNY
EL
HIG
DFS
TRGP
HPQ
EIX
VEEV
LULU
GRMN
XYL
VMC
EBAY
MLM
TSCO
WAB
HEI
MTD
AXON
ARES
DAL
LYB
CSGP
WEC
ON
PPG
TW
MSTR
ROK
BRO
NVR
WTW
PHM
CDW
OWL
HUM
MTB
AWK
ETR
FITB
K
ADM
ANSS
VLTO
RBLX
BIIB
FTV
NET
HAL
CAH
KEYS
HPE
DTE
DXCM
HUBS
FCNCA
TTWO
DOV
ZS
DVN
IFF
LYV
RJF
STT
FE
FSLR
NTAP
CHD
SMCI
BR
GPN
TYL
SW
ROL
PPL
DECK
MRNA
ES
TROW
AEE
STE
WDC
HUBB
FWONA
FWONK
BLDR
PINS
LDOS
CPAY
CBOE
EQT
TPL
GFS
WST
CCL
WRB
GDDY
ILMN
MKC
ATO
TKO
COO
TPG
PTC
CMS
TER
ZBH
CINF
BBY
WAT
LII
BAH
ZM
HBAN
TDY
CSL
TRU
RF
TSN
CLX
MKL
EME
BALL
OMC
WSO
HOOD
STLD
CNP
PFG
SYF
NRG
MOH
WSM
GPC
PKG
ZBRA
DRI
EXPE
WBD
WLK
MDB
HOLX
FOXA
LUV
UAL
FOX
LH
BAX
APTV
DKNG
CTRA
VRSN
RYAN
MAS
DG
SSNC
NTRS
CFG
ALGN
LPLA
EXPD
ULTA
FDS
AVY
L
AVTR
DGX
MANH
HRL
J
JBHT
EG
ENTG
DKS
SWK
IP
RPRX
FNF
GEN
BURL
RPM
PSTG
AMCR
PODD
TXT
CF
NTRA
IEX
PNR
UTHR
MRO
DT
LNT
NI
RS
NTNX
TOST
SWKS
CG
KEY
TOL
RVTY
AKAM
SN
THC
TRMB
SNA
GWRE
BSY
USFD
H
OC
AZPN
DLTR
NDSN
RBA
DPZ
CE
Z
GGG
ZG
ENPH
COHR
RNR
NWSA
NWS
RGA
CAG
POOL
FIX
CAVA
EVRG
CPB
AES
AGR
UHAL
ACM
CNH
BG
MORN
UI
JBL
VTRS
CASY
DVA
JKHY
CLH
EQH
BMRN
INCY
CNA
CW
UHS
JEF
TTEK
FND
JNPR
FFIV
DOCU
UWMC
AOS
EMN
ALLE
JLL
CHRW
SJM
EXAS
XPO
PFGC
OKTA
WING
DUOL
TECH
WMS
ITT
BLD
MGM
AFRM
RL
TXRH
FTI
IPG
SOLV
KMX
SRPT
TAP
PR
SAIA
TFX
CACI
NBIX
CCK
PSN
NVT
AFG
BJ
WYNN
COKE
EWBC
SCI
OVV
HLI
KNSL
LBRDA
EPAM
LBRDK
CTLT
UNM
ALB
RRX
FBIN
ROKU
RIVN
BWXT
ACI
TWLO
LECO
TPR
WTRG
PPC
ATR
ALLY
MEDP
PAG
ONTO
LKQ
PNW
BEN
AIZ
HII
MKTX
CART
MHK
HAS
DOX
WWD
ARMK
CHDN
BRKR
CRL
MTZ
SKX
AA
SNX
OLED
MUSA
DAY
APA
QGEN
XP
SF
MTCH
QRVO
EHC
PAYC
EXP
GNRC
LW
EVR
GMED
CIEN
BIO
GL
TPX
PCTY
CZR
AYI
RGLD
AR
ORI
WAL
GME
PRI
NYT
SEIC
APG
CR
CHE
HSIC
VNOM
TTC
BIRK
FYBR
KBR
DINO
DCI
INGR
PCOR
AAON
GPK
HRB
RBC
CNM
NCLH
APPF
GLOB
MOS
WEX
ALSN
KNX
ROIV
INFA
AS
OGE
DBX
SOFI
FHN
CHRD
DOCS
CROX
WCC
FCN
ATI
LAD
SSD
FMC
BFAM
U
DTM
BRBR
BWA
LNW
FOUR
IVZ
GTLB
RGEN
LBTYK
LBTYA
X
ALAB
AXTA
ESTC
SIRI
COTY
GAP
MTSI
CMA
SMAR
ITCI
RRC
VOYA
BERY
LCID
WBS
LPX
AM
EXEL
VFC
PEN
CBSH
PARAA
WBA
PARA
S
VKTX
TREX
AMKR
DLB
AGCO
MASI
ELAN
PNFP
RLI
MIDD
LSCC
SAIC
KEX
WSC
AAL
MKSI
PLNT
CELH
G
CFR
WTFC
RHI
FLS
HCP
ARW
BPOP
AN
MSA
CGNX
ZION
JAZZ
FAF
PB
GNTX
POST
AXS
SITE
CCCS
AZEK
PATH
MTG
MTDR
FRPT
MTN
BOKF
LSTR
LOAR
WFRD
OSK
W
BBWI
MAT
NOV
CRUS
ESI
LFUS
INSP
REYN
ESAB
R
RH
IONS
WH
SNV
PEGA
ADT
CHH
CFLT
CLF
RCM
JHG
LEA
DDS
GXO
ETSY
CWEN
ELF
OLLI
BYD
AWI
VMI
TKR
WHR
BEPC
DAR
SRCL
THO
NFG
MDU
OLN
SLGN
BILL
IDA
OMF
ALK
BC
AMG
ACHC
COLB
SON
PVH
NXST
THG
UGI
VVV
CACC
KD
ST
CIVI
MSGS
LNC
SEE
NEU
VNT
RARE
LYFT
DNB
XRAY
CPRI
HXL
SMG
FNB
BROS
CLVT
VIRT
SNDR
GTES
FIVE
AL
SLM
LLYVK
COLM
OGN
OZK
AVT
FLO
HOG
MSM
LLYVA
WTM
SHC
PII
LITE
IAC
LAZ
EEFT
AGO
M
ASH
LOPE
HUN
WU
ALGM
KMPR
HHH
SPR
DXC
IRDM
UA
UAA
ZI
NCNO
TFSL
WEN
JWN
APLS
YETI
PRGO
CNXC
MAN
SAM
DJT
IPGP
NVST
HAYW
CXT
TNL
AMED
NWL
CAR
SEB
QDEL
CC
RNG
DV
FHB
PLTK
TDC
PENN
QS
MP
BHF
SPB
VAC
PYCR
TXG
AZTA
CRI
AAP
ENOV
KSS
FIVN
TRIP
PINC
VSTS
NFE
CERT
LEG
FTRE
GO
WOLF
GRAL
SEG
